file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
crypto/cmp/cmp_genm.c,crypto/cmp/cmp_genm.c,openssl,crypto/cmp/cmp_genm.c,5,0,0,5,crypto/cmp/cmp_genm.c,crypto/cmp/cmp_genm.c,3,0,3,3,crypto/cmp/cmp_genm.c,4,0,3,7
crypto/cmp/cmp_ctx.c,crypto/cmp/cmp_ctx.c,openssl,crypto/cmp/cmp_ctx.c,0,0,0,0,crypto/cmp/cmp_ctx.c,crypto/cmp/cmp_ctx.c,0,0,0,0,crypto/cmp/cmp_ctx.c,2,0,0,2
crypto/bn/bn_mul.c,crypto/bn/bn_mul.c,openssl,crypto/bn/bn_mul.c,5,1,2,6,crypto/bn/bn_mul.c,crypto/bn/bn_mul.c,1,5,3,6,crypto/bn/bn_mul.c,3,5,3,11
crypto/bn/bn_blind.c,crypto/bn/bn_blind.c,openssl,crypto/bn/bn_blind.c,1,0,1,1,crypto/bn/bn_blind.c,crypto/bn/bn_blind.c,0,0,2,0,crypto/bn/bn_blind.c,1,0,2,3
crypto/bn/bn_exp.c,crypto/bn/bn_exp.c,openssl,crypto/bn/bn_exp.c,37,4,0,41,crypto/bn/bn_exp.c,crypto/bn/bn_exp.c,1,5,37,6,crypto/bn/bn_exp.c,2,5,37,44
crypto/bn/rsaz_exp.c,crypto/bn/rsaz_exp.c,openssl,crypto/bn/rsaz_exp.c,3,1,0,4,crypto/bn/rsaz_exp.c,crypto/bn/rsaz_exp.c,0,0,3,0,crypto/bn/rsaz_exp.c,1,0,3,4
crypto/bn/rsaz_exp_x2.c,crypto/bn/rsaz_exp_x2.c,openssl,crypto/bn/rsaz_exp_x2.c,7,0,0,7,crypto/bn/rsaz_exp_x2.c,crypto/bn/rsaz_exp_x2.c,4,1,6,5,crypto/bn/rsaz_exp_x2.c,6,1,6,13
crypto/bn/bn_nist.c,crypto/bn/bn_nist.c,openssl,crypto/bn/bn_nist.c,4,0,0,4,crypto/bn/bn_nist.c,crypto/bn/bn_nist.c,1,0,4,1,crypto/bn/bn_nist.c,13,0,4,17
crypto/ec/curve448/scalar.c,crypto/ec/curve448/scalar.c,openssl,crypto/ec/curve448/scalar.c,13,1,0,14,crypto/ec/curve448/scalar.c,crypto/ec/curve448/scalar.c,0,1,7,1,crypto/ec/curve448/scalar.c,4,1,7,12
crypto/ec/curve448/f_generic.c,crypto/ec/curve448/f_generic.c,openssl,crypto/ec/curve448/f_generic.c,5,1,0,6,crypto/ec/curve448/f_generic.c,crypto/ec/curve448/f_generic.c,0,1,9,1,crypto/ec/curve448/f_generic.c,1,1,9,11
crypto/ec/ec2_smpl.c,crypto/ec/ec2_smpl.c,openssl,crypto/ec/ec2_smpl.c,1,0,2,1,crypto/ec/ec2_smpl.c,crypto/ec/ec2_smpl.c,0,0,3,0,crypto/ec/ec2_smpl.c,4,0,3,7
crypto/ec/ecp_nistz256.c,crypto/ec/ecp_nistz256.c,openssl,crypto/ec/ecp_nistz256.c,21,1,0,22,crypto/ec/ecp_nistz256.c,crypto/ec/ecp_nistz256.c,1,3,18,4,crypto/ec/ecp_nistz256.c,7,3,18,28
crypto/ec/curve25519.c,crypto/ec/curve25519.c,openssl,crypto/ec/curve25519.c,54,0,0,54,crypto/ec/curve25519.c,crypto/ec/curve25519.c,1,2,38,3,crypto/ec/curve25519.c,25,2,38,65
crypto/ec/ec_mult.c,crypto/ec/ec_mult.c,openssl,crypto/ec/ec_mult.c,17,0,0,17,crypto/ec/ec_mult.c,crypto/ec/ec_mult.c,0,3,14,3,crypto/ec/ec_mult.c,4,3,14,21
crypto/ec/ecp_smpl.c,crypto/ec/ecp_smpl.c,openssl,crypto/ec/ecp_smpl.c,5,0,4,5,crypto/ec/ecp_smpl.c,crypto/ec/ecp_smpl.c,1,0,8,1,crypto/ec/ecp_smpl.c,4,0,8,12
crypto/ffc/ffc_params_validate.c,crypto/ffc/ffc_params_validate.c,openssl,crypto/ffc/ffc_params_validate.c,0,0,0,0,crypto/ffc/ffc_params_validate.c,crypto/ffc/ffc_params_validate.c,1,0,0,1,crypto/ffc/ffc_params_validate.c,2,0,0,2
crypto/ffc/ffc_params.c,crypto/ffc/ffc_params.c,openssl,crypto/ffc/ffc_params.c,1,0,0,1,crypto/ffc/ffc_params.c,crypto/ffc/ffc_params.c,1,1,0,2,crypto/ffc/ffc_params.c,2,1,0,3
crypto/whrlpool/wp_dgst.c,crypto/whrlpool/wp_dgst.c,openssl,crypto/whrlpool/wp_dgst.c,2,3,1,5,crypto/whrlpool/wp_dgst.c,crypto/whrlpool/wp_dgst.c,1,2,5,3,crypto/whrlpool/wp_dgst.c,11,2,5,18
crypto/rsa/rsa_ossl.c,crypto/rsa/rsa_ossl.c,openssl,crypto/rsa/rsa_ossl.c,4,0,0,4,crypto/rsa/rsa_ossl.c,crypto/rsa/rsa_ossl.c,0,1,3,1,crypto/rsa/rsa_ossl.c,1,1,3,5
crypto/rsa/rsa_mp.c,crypto/rsa/rsa_mp.c,openssl,crypto/rsa/rsa_mp.c,1,0,0,1,crypto/rsa/rsa_mp.c,crypto/rsa/rsa_mp.c,0,0,1,0,crypto/rsa/rsa_mp.c,1,0,1,2
crypto/bf/bf_enc.c,crypto/bf/bf_enc.c,openssl,crypto/bf/bf_enc.c,2,0,0,2,crypto/bf/bf_enc.c,crypto/bf/bf_enc.c,0,0,2,0,crypto/bf/bf_enc.c,2,0,2,4
crypto/md4/md4_dgst.c,crypto/md4/md4_dgst.c,openssl,crypto/md4/md4_dgst.c,1,0,0,1,crypto/md4/md4_dgst.c,crypto/md4/md4_dgst.c,0,0,4,0,crypto/md4/md4_dgst.c,3,0,4,7
crypto/modes/cbc128.c,crypto/modes/cbc128.c,openssl,crypto/modes/cbc128.c,10,8,0,18,crypto/modes/cbc128.c,crypto/modes/cbc128.c,0,0,3,0,crypto/modes/cbc128.c,2,0,3,5
crypto/modes/ccm128.c,crypto/modes/ccm128.c,openssl,crypto/modes/ccm128.c,15,2,3,17,crypto/modes/ccm128.c,crypto/modes/ccm128.c,0,0,9,0,crypto/modes/ccm128.c,17,0,9,26
crypto/modes/ctr128.c,crypto/modes/ctr128.c,openssl,crypto/modes/ctr128.c,1,7,4,8,crypto/modes/ctr128.c,crypto/modes/ctr128.c,1,2,3,3,crypto/modes/ctr128.c,3,2,3,8
crypto/modes/ocb128.c,crypto/modes/ocb128.c,openssl,crypto/modes/ocb128.c,5,4,0,9,crypto/modes/ocb128.c,crypto/modes/ocb128.c,3,3,7,6,crypto/modes/ocb128.c,11,3,7,21
crypto/bio/bio_addr.c,crypto/bio/bio_addr.c,openssl,crypto/bio/bio_addr.c,2,1,0,3,crypto/bio/bio_addr.c,crypto/bio/bio_addr.c,4,1,1,5,crypto/bio/bio_addr.c,6,1,1,8
crypto/bio/bss_dgram_pair.c,crypto/bio/bss_dgram_pair.c,openssl,crypto/bio/bss_dgram_pair.c,2,3,0,5,crypto/bio/bss_dgram_pair.c,crypto/bio/bss_dgram_pair.c,2,2,5,4,crypto/bio/bss_dgram_pair.c,5,2,5,12
crypto/rc2/rc2_skey.c,crypto/rc2/rc2_skey.c,openssl,crypto/rc2/rc2_skey.c,3,1,0,4,crypto/rc2/rc2_skey.c,crypto/rc2/rc2_skey.c,0,0,4,0,crypto/rc2/rc2_skey.c,1,0,4,5
crypto/seed/seed.c,crypto/seed/seed.c,openssl,crypto/seed/seed.c,3,0,0,3,crypto/seed/seed.c,crypto/seed/seed.c,0,0,0,0,crypto/seed/seed.c,2,0,0,2
crypto/ts/ts_rsp_sign.c,crypto/ts/ts_rsp_sign.c,openssl,crypto/ts/ts_rsp_sign.c,4,1,0,5,crypto/ts/ts_rsp_sign.c,crypto/ts/ts_rsp_sign.c,1,0,3,1,crypto/ts/ts_rsp_sign.c,3,0,3,6
crypto/ts/ts_verify_ctx.c,crypto/ts/ts_verify_ctx.c,openssl,crypto/ts/ts_verify_ctx.c,0,0,0,0,crypto/ts/ts_verify_ctx.c,crypto/ts/ts_verify_ctx.c,0,0,0,0,crypto/ts/ts_verify_ctx.c,3,0,0,3
crypto/ripemd/rmd_dgst.c,crypto/ripemd/rmd_dgst.c,openssl,crypto/ripemd/rmd_dgst.c,1,0,0,1,crypto/ripemd/rmd_dgst.c,crypto/ripemd/rmd_dgst.c,0,0,4,0,crypto/ripemd/rmd_dgst.c,3,0,4,7
crypto/x509/x_crl.c,crypto/x509/x_crl.c,openssl,crypto/x509/x_crl.c,5,0,0,5,crypto/x509/x_crl.c,crypto/x509/x_crl.c,2,1,2,3,crypto/x509/x_crl.c,3,1,2,6
crypto/x509/x509cset.c,crypto/x509/x509cset.c,openssl,crypto/x509/x509cset.c,1,0,0,1,crypto/x509/x509cset.c,crypto/x509/x509cset.c,0,1,0,1,crypto/x509/x509cset.c,3,1,0,4
crypto/x509/x_all.c,crypto/x509/x_all.c,openssl,crypto/x509/x_all.c,0,0,0,0,crypto/x509/x_all.c,crypto/x509/x_all.c,0,0,0,0,crypto/x509/x_all.c,2,0,0,2
crypto/x509/pcy_cache.c,crypto/x509/pcy_cache.c,openssl,crypto/x509/pcy_cache.c,1,0,0,1,crypto/x509/pcy_cache.c,crypto/x509/pcy_cache.c,0,0,1,0,crypto/x509/pcy_cache.c,1,0,1,2
crypto/ui/ui_lib.c,crypto/ui/ui_lib.c,openssl,crypto/ui/ui_lib.c,4,0,0,4,crypto/ui/ui_lib.c,crypto/ui/ui_lib.c,1,4,0,5,crypto/ui/ui_lib.c,15,4,0,19
crypto/md5/md5_dgst.c,crypto/md5/md5_dgst.c,openssl,crypto/md5/md5_dgst.c,1,0,0,1,crypto/md5/md5_dgst.c,crypto/md5/md5_dgst.c,0,0,3,0,crypto/md5/md5_dgst.c,3,0,3,6
crypto/sm3/sm3.c,crypto/sm3/sm3.c,openssl,crypto/sm3/sm3.c,1,0,0,1,crypto/sm3/sm3.c,crypto/sm3/sm3.c,0,0,4,0,crypto/sm3/sm3.c,2,0,4,6
crypto/store/store_result.c,crypto/store/store_result.c,openssl,crypto/store/store_result.c,0,2,0,2,crypto/store/store_result.c,crypto/store/store_result.c,0,1,1,1,crypto/store/store_result.c,1,1,1,3
crypto/err/err_prn.c,crypto/err/err_prn.c,openssl,crypto/err/err_prn.c,0,2,1,2,crypto/err/err_prn.c,crypto/err/err_prn.c,1,0,3,1,crypto/err/err_prn.c,2,0,3,5
crypto/err/err.c,crypto/err/err.c,openssl,crypto/err/err.c,5,2,0,7,crypto/err/err.c,crypto/err/err.c,2,2,21,4,crypto/err/err.c,66,2,21,89
crypto/err/err_save.c,crypto/err/err_save.c,openssl,crypto/err/err_save.c,6,0,0,6,crypto/err/err_save.c,crypto/err/err_save.c,2,0,6,2,crypto/err/err_save.c,3,0,6,9
crypto/rand/rand_lib.c,crypto/rand/rand_lib.c,openssl,crypto/rand/rand_lib.c,1,0,0,1,crypto/rand/rand_lib.c,crypto/rand/rand_lib.c,0,0,1,0,crypto/rand/rand_lib.c,1,0,1,2
crypto/provider_core.c,crypto/provider_core.c,openssl,crypto/provider_core.c,19,1,0,20,crypto/provider_core.c,crypto/provider_core.c,3,1,18,4,crypto/provider_core.c,6,1,18,25
crypto/pem/pvkfmt.c,crypto/pem/pvkfmt.c,openssl,crypto/pem/pvkfmt.c,0,0,0,0,crypto/pem/pvkfmt.c,crypto/pem/pvkfmt.c,0,0,0,0,crypto/pem/pvkfmt.c,1,0,0,1
crypto/pem/pem_lib.c,crypto/pem/pem_lib.c,openssl,crypto/pem/pem_lib.c,5,3,2,8,crypto/pem/pem_lib.c,crypto/pem/pem_lib.c,0,1,8,1,crypto/pem/pem_lib.c,1,1,8,10
crypto/slh_dsa/slh_wots.c,crypto/slh_dsa/slh_wots.c,openssl,crypto/slh_dsa/slh_wots.c,6,0,0,6,crypto/slh_dsa/slh_wots.c,crypto/slh_dsa/slh_wots.c,0,0,9,0,crypto/slh_dsa/slh_wots.c,4,0,9,13
crypto/sha/sha512.c,crypto/sha/sha512.c,openssl,crypto/sha/sha512.c,9,4,0,13,crypto/sha/sha512.c,crypto/sha/sha512.c,3,0,1,3,crypto/sha/sha512.c,10,0,1,11
crypto/sha/sha256.c,crypto/sha/sha256.c,openssl,crypto/sha/sha256.c,3,2,0,5,crypto/sha/sha256.c,crypto/sha/sha256.c,0,0,3,0,crypto/sha/sha256.c,8,0,3,11
crypto/sha/sha1dgst.c,crypto/sha/sha1dgst.c,openssl,crypto/sha/sha1dgst.c,0,0,0,0,crypto/sha/sha1dgst.c,crypto/sha/sha1dgst.c,0,0,3,0,crypto/sha/sha1dgst.c,3,0,3,6
crypto/evp/evp_lib.c,crypto/evp/evp_lib.c,openssl,crypto/evp/evp_lib.c,0,0,0,0,crypto/evp/evp_lib.c,crypto/evp/evp_lib.c,0,0,0,0,crypto/evp/evp_lib.c,1,0,0,1
crypto/evp/e_aes_cbc_hmac_sha1.c,crypto/evp/e_aes_cbc_hmac_sha1.c,openssl,crypto/evp/e_aes_cbc_hmac_sha1.c,19,0,1,19,crypto/evp/e_aes_cbc_hmac_sha1.c,crypto/evp/e_aes_cbc_hmac_sha1.c,5,2,7,7,crypto/evp/e_aes_cbc_hmac_sha1.c,9,2,7,18
crypto/evp/e_chacha20_poly1305.c,crypto/evp/e_chacha20_poly1305.c,openssl,crypto/evp/e_chacha20_poly1305.c,5,2,0,7,crypto/evp/e_chacha20_poly1305.c,crypto/evp/e_chacha20_poly1305.c,0,2,5,2,crypto/evp/e_chacha20_poly1305.c,3,2,5,10
crypto/evp/encode.c,crypto/evp/encode.c,openssl,crypto/evp/encode.c,3,3,0,6,crypto/evp/encode.c,crypto/evp/encode.c,0,3,5,3,crypto/evp/encode.c,1,3,5,9
crypto/evp/e_aes_cbc_hmac_sha256.c,crypto/evp/e_aes_cbc_hmac_sha256.c,openssl,crypto/evp/e_aes_cbc_hmac_sha256.c,19,0,1,19,crypto/evp/e_aes_cbc_hmac_sha256.c,crypto/evp/e_aes_cbc_hmac_sha256.c,5,2,7,7,crypto/evp/e_aes_cbc_hmac_sha256.c,9,2,7,18
crypto/evp/pmeth_lib.c,crypto/evp/pmeth_lib.c,openssl,crypto/evp/pmeth_lib.c,2,0,0,2,crypto/evp/pmeth_lib.c,crypto/evp/pmeth_lib.c,0,2,0,2,crypto/evp/pmeth_lib.c,1,2,0,3
ssl/ssl_sess.c,ssl/ssl_sess.c,openssl,ssl/ssl_sess.c,0,3,1,3,ssl/ssl_sess.c,ssl/ssl_sess.c,2,3,5,5,ssl/ssl_sess.c,17,3,5,25
ssl/t1_lib.c,ssl/t1_lib.c,openssl,ssl/t1_lib.c,63,2,0,65,ssl/t1_lib.c,ssl/t1_lib.c,9,15,59,24,ssl/t1_lib.c,11,15,59,85
ssl/ssl_lib.c,ssl/ssl_lib.c,openssl,ssl/ssl_lib.c,24,5,0,29,ssl/ssl_lib.c,ssl/ssl_lib.c,3,6,32,9,ssl/ssl_lib.c,8,6,32,46
ssl/ssl_asn1.c,ssl/ssl_asn1.c,openssl,ssl/ssl_asn1.c,0,0,0,0,ssl/ssl_asn1.c,ssl/ssl_asn1.c,3,0,2,3,ssl/ssl_asn1.c,12,0,2,14
ssl/tls_srp.c,ssl/tls_srp.c,openssl,ssl/tls_srp.c,0,0,0,0,ssl/tls_srp.c,ssl/tls_srp.c,5,0,0,5,ssl/tls_srp.c,8,0,0,8
ssl/record/methods/dtls_meth.c,ssl/record/methods/dtls_meth.c,openssl,ssl/record/methods/dtls_meth.c,0,2,0,2,ssl/record/methods/dtls_meth.c,ssl/record/methods/dtls_meth.c,0,2,1,2,ssl/record/methods/dtls_meth.c,4,2,1,7
ssl/record/methods/tls_common.c,ssl/record/methods/tls_common.c,openssl,ssl/record/methods/tls_common.c,15,3,1,18,ssl/record/methods/tls_common.c,ssl/record/methods/tls_common.c,2,6,18,8,ssl/record/methods/tls_common.c,3,6,18,27
ssl/record/methods/tls13_meth.c,ssl/record/methods/tls13_meth.c,openssl,ssl/record/methods/tls13_meth.c,2,0,0,2,ssl/record/methods/tls13_meth.c,ssl/record/methods/tls13_meth.c,0,0,1,0,ssl/record/methods/tls13_meth.c,1,0,1,2
ssl/record/methods/ssl3_cbc.c,ssl/record/methods/ssl3_cbc.c,openssl,ssl/record/methods/ssl3_cbc.c,9,0,0,9,ssl/record/methods/ssl3_cbc.c,ssl/record/methods/ssl3_cbc.c,3,0,7,3,ssl/record/methods/ssl3_cbc.c,13,0,7,20
ssl/s3_lib.c,ssl/s3_lib.c,openssl,ssl/s3_lib.c,12,0,0,12,ssl/s3_lib.c,ssl/s3_lib.c,2,1,9,3,ssl/s3_lib.c,3,1,9,13
ssl/rio/poll_builder.c,ssl/rio/poll_builder.c,openssl,ssl/rio/poll_builder.c,1,0,2,1,ssl/rio/poll_builder.c,ssl/rio/poll_builder.c,0,0,3,0,ssl/rio/poll_builder.c,1,0,3,4
ssl/quic/quic_record_tx.c,ssl/quic/quic_record_tx.c,openssl,ssl/quic/quic_record_tx.c,11,0,0,11,ssl/quic/quic_record_tx.c,ssl/quic/quic_record_tx.c,0,5,7,5,ssl/quic/quic_record_tx.c,1,5,7,13
ssl/quic/quic_wire_pkt.c,ssl/quic/quic_wire_pkt.c,openssl,ssl/quic/quic_wire_pkt.c,3,0,0,3,ssl/quic/quic_wire_pkt.c,ssl/quic/quic_wire_pkt.c,2,0,3,2,ssl/quic/quic_wire_pkt.c,5,0,3,8
ssl/quic/quic_channel.c,ssl/quic/quic_channel.c,openssl,ssl/quic/quic_channel.c,10,4,2,14,ssl/quic/quic_channel.c,ssl/quic/quic_channel.c,15,4,10,19,ssl/quic/quic_channel.c,16,4,10,30
ssl/quic/quic_fc.c,ssl/quic/quic_fc.c,openssl,ssl/quic/quic_fc.c,0,0,0,0,ssl/quic/quic_fc.c,ssl/quic/quic_fc.c,0,0,0,0,ssl/quic/quic_fc.c,1,0,0,1
ssl/quic/quic_rcidm.c,ssl/quic/quic_rcidm.c,openssl,ssl/quic/quic_rcidm.c,0,2,0,2,ssl/quic/quic_rcidm.c,ssl/quic/quic_rcidm.c,0,3,1,3,ssl/quic/quic_rcidm.c,16,3,1,20
ssl/quic/qlog.c,ssl/quic/qlog.c,openssl,ssl/quic/qlog.c,5,1,0,6,ssl/quic/qlog.c,ssl/quic/qlog.c,2,3,4,5,ssl/quic/qlog.c,4,3,4,11
ssl/quic/quic_demux.c,ssl/quic/quic_demux.c,openssl,ssl/quic/quic_demux.c,3,2,0,5,ssl/quic/quic_demux.c,ssl/quic/quic_demux.c,0,5,3,5,ssl/quic/quic_demux.c,2,5,3,10
ssl/quic/quic_wire.c,ssl/quic/quic_wire.c,openssl,ssl/quic/quic_wire.c,4,1,0,5,ssl/quic/quic_wire.c,ssl/quic/quic_wire.c,0,0,9,0,ssl/quic/quic_wire.c,3,0,9,12
ssl/quic/quic_record_rx.c,ssl/quic/quic_record_rx.c,openssl,ssl/quic/quic_record_rx.c,6,2,0,8,ssl/quic/quic_record_rx.c,ssl/quic/quic_record_rx.c,0,7,4,7,ssl/quic/quic_record_rx.c,1,7,4,12
ssl/quic/json_enc.c,ssl/quic/json_enc.c,openssl,ssl/quic/json_enc.c,5,2,0,7,ssl/quic/json_enc.c,ssl/quic/json_enc.c,3,1,10,4,ssl/quic/json_enc.c,6,1,10,17
ssl/statem/statem_srvr.c,ssl/statem/statem_srvr.c,openssl,ssl/statem/statem_srvr.c,10,0,0,10,ssl/statem/statem_srvr.c,ssl/statem/statem_srvr.c,7,1,7,8,ssl/statem/statem_srvr.c,10,1,7,18
ssl/statem/statem_lib.c,ssl/statem/statem_lib.c,openssl,ssl/statem/statem_lib.c,13,4,1,17,ssl/statem/statem_lib.c,ssl/statem/statem_lib.c,4,2,12,6,ssl/statem/statem_lib.c,5,2,12,19
ssl/statem/statem.c,ssl/statem/statem.c,openssl,ssl/statem/statem.c,0,3,0,3,ssl/statem/statem.c,ssl/statem/statem.c,0,0,0,0,ssl/statem/statem.c,2,0,0,2
ssl/statem/statem_clnt.c,ssl/statem/statem_clnt.c,openssl,ssl/statem/statem_clnt.c,4,0,0,4,ssl/statem/statem_clnt.c,ssl/statem/statem_clnt.c,4,0,4,4,ssl/statem/statem_clnt.c,6,0,4,10
ssl/statem/statem_dtls.c,ssl/statem/statem_dtls.c,openssl,ssl/statem/statem_dtls.c,1,3,1,4,ssl/statem/statem_dtls.c,ssl/statem/statem_dtls.c,1,6,6,7,ssl/statem/statem_dtls.c,7,6,6,19
ssl/statem/extensions_clnt.c,ssl/statem/extensions_clnt.c,openssl,ssl/statem/extensions_clnt.c,12,3,0,15,ssl/statem/extensions_clnt.c,ssl/statem/extensions_clnt.c,6,3,8,9,ssl/statem/extensions_clnt.c,7,3,8,18
ssl/ssl_conf.c,ssl/ssl_conf.c,openssl,ssl/ssl_conf.c,5,1,0,6,ssl/ssl_conf.c,ssl/ssl_conf.c,0,1,8,1,ssl/ssl_conf.c,1,1,8,10
